[2024-12-01 15:56:05,429: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:05,430: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:05,430: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:05,430: INFO: 3963953584: Handling Duplicate image with hash: f08c297abb35119c6f0e453713731a9e85c8704d and j: 3]
[2024-12-01 15:56:05,431: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:56:06,594: INFO: 3963953584: Found faces in frame 5 of video 3]
[2024-12-01 15:56:06,595: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:06,597: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:06,713: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:06,713: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:06,714: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:06,714: INFO: 3963953584: Handling Duplicate image with hash: f08c297abb35119c6f0e453713731a9e85c8704d and j: 3]
[2024-12-01 15:56:06,714: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:56:07,832: INFO: 3963953584: Found faces in frame 6 of video 3]
[2024-12-01 15:56:07,833: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:07,836: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:07,946: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:07,947: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:07,947: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:07,947: INFO: 3963953584: Handling Duplicate image with hash: f08c297abb35119c6f0e453713731a9e85c8704d and j: 3]
[2024-12-01 15:56:07,948: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:56:09,050: INFO: 3963953584: Found faces in frame 7 of video 3]
[2024-12-01 15:56:09,051: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:09,053: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:09,163: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:09,163: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:09,163: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:09,163: INFO: 3963953584: Handling Duplicate image with hash: f08c297abb35119c6f0e453713731a9e85c8704d and j: 3]
[2024-12-01 15:56:09,164: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:56:10,178: INFO: 3963953584: No face in this frame 8 of video 3]
[2024-12-01 15:56:11,166: INFO: 3963953584: No face in this frame 8 of video 3]
[2024-12-01 15:56:12,094: INFO: 3963953584: No face in this frame 8 of video 3]
[2024-12-01 15:56:13,195: INFO: 3963953584: No face in this frame 8 of video 3]
[2024-12-01 15:56:14,195: INFO: 3963953584: No face in this frame 8 of video 3]
[2024-12-01 15:56:15,382: INFO: 3963953584: Found faces in frame 8 of video 3]
[2024-12-01 15:56:15,383: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:15,386: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:15,539: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:15,540: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:15,540: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:15,541: INFO: 3963953584: Handling Duplicate image with hash: 97b22b309cdd70bae11e6227c0d4ec0b6ed2b57d and j: 3]
[2024-12-01 15:56:15,541: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:56:16,586: INFO: 3963953584: No face in this frame 9 of video 3]
